query_idx,dominant_cluster,gt_count_in_cluster
5580,418,8
5585,418,9
5586,142,10
5589,992,6
5590,500,7
5592,418,6
5598,216,6
5599,208,8
5602,743,8
5604,257,10
5605,275,10
5610,99,6
5614,509,9
5615,76,6
5621,973,7
5623,621,10
5624,829,8
5625,356,10
5630,996,6
5637,230,8
5638,228,6
5644,821,6
5646,778,7
5647,236,9
5648,275,7
5650,89,6
5653,942,6
5655,572,6
5665,512,6
5666,744,10
5674,736,6
5677,54,8
5681,825,6
5682,126,6
5683,720,10
5689,704,6
5696,749,7
5712,26,9
5713,942,7
5715,414,10
5716,1010,9
5718,345,7
5719,653,8
5722,26,7
5723,852,9
5724,217,6
5727,41,8
5730,981,10
5731,471,8
5732,252,7
5736,327,7
5738,512,6
5753,626,8
5754,135,7
5757,843,6
5761,33,8
5764,396,7
5765,689,6
5770,525,7
5780,307,6
5783,112,9
5788,1022,7
5790,710,9
5792,767,10
5794,540,8
5796,422,10
5800,40,6
5804,40,10
5805,149,6
5810,359,6
5812,244,6
5815,24,7
5817,970,10
5822,595,7
5823,826,6
5825,175,6
5826,790,7
5827,737,7
5835,940,10
5841,544,8
5844,946,9
5848,541,6
5851,93,9
5858,454,8
5864,244,9
5865,628,8
5866,71,8
5867,455,6
5877,555,7
5878,422,10
5881,821,6
5882,324,6
5886,404,9
5887,846,10
5888,166,6
5889,904,9
5893,567,7
5896,487,6
5898,788,10
5900,846,7
5904,151,6
5908,992,6
5910,794,6
5914,430,7
5915,418,8
5917,487,9
5921,487,6
5927,908,7
5929,117,7
5938,914,7
5950,356,6
5958,256,8
5960,793,6
5965,1016,7
5966,743,8
5968,170,9
5971,294,10
5976,484,6
5978,122,8
5981,984,10
5991,686,7
5994,498,6
5998,147,6
6000,435,7
6003,112,10
6005,277,8
6011,814,6
6016,0,7
6017,520,7
6021,1013,10
6029,106,6
6030,520,7
6033,636,7
6035,577,8
6036,92,6
6037,795,6
6038,471,9
6039,107,6
6041,73,9
6043,55,7
6050,150,6
6053,186,8
6055,705,6
6062,60,6
6065,688,6
6081,823,7
6082,467,7
6090,226,6
6097,566,7
6099,462,6
6102,696,8
6105,841,6
6117,866,8
6124,937,7
6126,39,6
6132,696,7
6134,149,8
6135,700,7
6137,445,6
6139,495,6
6145,337,7
6150,691,8
6164,699,9
6174,983,7
6175,89,7
6180,573,6
6199,636,10
6200,169,8
6202,919,6
6204,313,7
6205,690,6
6206,690,7
6207,541,9
6212,122,9
6213,235,8
6215,313,10
6216,342,10
6221,884,10
6224,730,7
6226,882,10
6229,313,9
6235,454,10
6237,467,9
6238,408,9
6240,308,7
6243,454,10
6244,919,9
6245,451,6
6247,680,8
6249,520,9
6250,71,7
6253,151,6
6256,198,7
6265,874,6
6266,197,8
6270,188,9
6271,1013,10
6273,313,10
6274,122,6
6275,930,10
6276,409,7
6277,313,8
6278,227,9
6280,313,10
6281,599,9
6282,342,10
6283,353,8
6284,34,7
6285,34,10
6286,422,6
6287,99,9
6289,541,8
6290,112,9
6291,197,7
6292,572,8
6293,942,6
6294,342,7
6295,520,9
6296,555,7
6297,227,10
6298,227,9
6299,342,9
6300,177,10
6302,930,10
6303,555,7
6304,313,8
6305,99,10
6306,622,6
6308,572,8
6310,327,6
6312,884,7
6314,703,9
6318,342,10
6319,356,8
6320,342,9
6321,419,9
6325,820,8
6326,1013,10
6327,275,9
6328,930,8
6329,356,10
6331,177,9
6332,177,10
6336,116,6
6340,407,7
6343,40,10
6344,432,9
6345,235,8
6346,671,8
6351,525,6
6352,287,6
6356,644,6
6357,235,8
6358,40,6
6360,137,7
6362,235,10
6365,1014,8
6366,235,10
6369,3,7
6370,40,10
6371,984,6
6373,984,10
6374,205,10
6375,456,9
6377,205,8
6378,99,9
6382,422,9
6383,40,9
6385,357,9
6396,589,10
6398,1013,10
6400,1013,7
6401,984,8
6403,715,10
6405,177,7
6406,625,10
6409,625,6
6410,744,10
6412,760,8
6413,1013,8
6414,235,8
6416,285,10
6418,622,8
6421,338,8
6422,244,10
6423,177,10
6425,984,9
6429,409,6
6430,959,10
6433,244,8
6434,227,8
6435,271,6
6437,313,10
6439,244,10
6444,498,6
6453,919,6
6454,419,7
6455,797,8
6461,272,7
6462,959,6
6464,391,8
6465,940,10
6469,177,9
6471,112,7
6475,887,7
6482,899,6
6484,734,6
6485,89,8
6487,361,10
6489,95,9
6492,1000,10
6493,767,8
6499,418,9
6502,644,7
6504,404,8
6505,580,9
6507,804,6
6510,959,8
6513,846,6
6514,867,6
6516,973,9
6522,231,7
6527,482,7
6530,737,6
6531,939,9
6532,202,6
6533,34,6
6534,422,9
6536,422,10
6537,112,9
6538,177,6
6539,112,6
6540,555,6
6541,930,8
6542,786,10
6543,555,8
6544,555,10
6545,34,6
6548,211,6
6549,112,6
6550,786,8
6551,919,9
6552,265,9
6556,555,6
6559,112,10
6560,122,7
6565,411,9
6566,952,6
6568,613,8
6570,477,6
6571,583,9
6576,882,6
6579,930,7
6581,874,6
6582,528,7
6583,707,9
6584,149,6
6585,520,7
6586,447,8
6592,992,9
6595,265,10
6596,671,6
6603,770,8
6604,934,6
6611,652,7
6612,24,10
6613,786,10
6615,984,10
6618,934,6
6622,285,7
6624,204,6
6625,786,10
6626,227,10
6627,508,6
6628,347,9
6631,671,6
6633,275,8
6634,28,8
6635,665,9
6637,255,7
6640,700,6
6642,140,6
6646,621,10
6649,786,10
6650,626,9
6653,786,6
6661,905,6
6663,786,9
6664,626,7
6665,963,7
6670,33,7
6671,313,10
6675,703,8
6676,559,6
6677,313,10
6678,720,6
6679,683,6
6682,946,8
6686,407,8
6687,940,8
6689,112,10
6690,313,8
6691,823,9
6693,175,8
6695,531,7
6696,280,6
6698,715,6
6704,690,6
6707,12,6
6708,197,7
6709,33,10
6710,1013,10
6711,24,10
6712,721,6
6715,24,10
6717,313,8
6719,195,8
6720,919,10
6721,636,6
6722,607,10
6725,265,9
6726,721,10
6731,212,8
6734,694,6
6737,313,6
6742,805,6
6743,442,8
6748,467,10
6769,550,6
6773,211,8
6775,847,6
6776,313,8
6780,234,7
6787,548,10
6788,208,7
6789,382,8
6790,231,6
6792,853,6
6793,846,10
6794,182,8
6795,906,7
6798,422,10
6801,888,8
6804,802,7
6806,124,8
6807,658,8
6810,571,9
6813,27,6
6814,851,7
6818,149,10
6820,385,6
6824,108,8
6829,66,6
6831,882,6
6832,728,9
6837,357,10
6848,16,7
6850,135,9
6857,743,7
6869,419,6
6873,923,7
6876,286,7
6878,805,6
6880,244,9
6881,219,7
6883,1012,6
6885,890,7
6886,447,8
6889,872,7
6890,81,6
6898,987,6
6899,479,8
6900,119,8
6914,226,8
6915,441,7
6922,524,9
6925,302,7
6926,231,6
6935,600,6
6939,828,6
6940,992,8
6943,158,8
6945,644,7
6948,904,10
6949,41,9
6957,112,10
6962,869,6
6969,505,8
6970,1010,8
6973,300,6
6976,841,7
6977,212,10
6983,811,9
6993,630,6
7029,540,8
7048,0,6
7050,350,6
7051,846,6
7056,400,6
7063,352,9
7068,313,10
7072,345,6
7080,550,6
7081,514,7
7086,422,8
7087,357,7
7093,640,7
7101,314,6
7104,427,6
7106,149,7
7114,462,9
7115,383,6
7122,69,9
7126,695,6
7127,489,6
7129,882,7
7134,734,9
7138,395,6
7152,801,6
7154,801,9
7156,966,7
7161,548,7
7165,621,6
7169,703,9
7172,326,7
7174,19,7
7176,798,6
7177,217,7
7180,875,6
7186,298,6
7187,198,10
7195,410,6
7196,17,6
7197,192,6
7198,40,6
7202,549,6
7204,868,7
7209,948,9
7213,418,10
7218,308,6
7219,992,7
7226,213,8
7227,4,6
7231,804,9
7234,793,6
7235,882,6
7237,882,8
7248,503,6
7251,934,7
7252,263,6
7264,136,8
7288,103,6
7289,897,7
7290,619,9
7291,824,7
7307,49,6
7317,745,6
7329,970,6
7344,68,9
7345,380,6
7350,171,6
7357,905,6
7373,630,6
7376,269,6
7377,828,8
7378,93,6
7380,245,6
7383,630,8
7389,809,6
7390,680,6
7391,469,9
7392,680,6
7401,101,10
7403,1009,6
7406,807,8
7408,357,7
7409,555,7
7411,163,6
7419,487,6
7427,27,6
7432,540,8
7435,294,7
7437,610,7
7450,226,7
7451,643,9
7460,512,10
7461,630,7
7462,755,8
7468,505,7
7469,985,7
7473,505,9
7476,930,10
7477,314,6
7478,770,9
